track_name,bpm,onset_rate,onset_strength_mean,onset_strength_std,zcr_mean,zcr_std,spec_cent_mean,spec_cent_std,spec_contrast_mean,spec_contrast_std,spec_rolloff_mean,spec_rolloff_std,spec_bandwidth_mean,spec_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,tonnetz_mean_1,tonnetz_std_1,tonnetz_mean_2,tonnetz_std_2,tonnetz_mean_3,tonnetz_std_3,tonnetz_mean_4,tonnetz_std_4,tonnetz_mean_5,tonnetz_std_5,tonnetz_mean_6,tonnetz_std_6,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13
c7_2_bfr.wav,123.047,1239.212,1.446,2.233,0.020,0.020,1325.375,858.547,15.945,6.012,2595.084,2131.197,2260.518,778.075,0.000501,0.001672,0.108,0.060,0.028,0.073,-0.008,0.119,0.021,0.055,0.026,0.023,0.008,0.044,0.473,0.452,0.498,0.445,0.615,0.503,0.484,0.873,0.720,1.000,0.715,0.558,166.841,32.604,8.216,32.147,38.621,19.160,18.813,21.014,16.815,14.341,6.550,11.961,11.234,9.487,10.772,8.737,7.319,7.811,8.575,7.955,2.902,8.158,3.113,7.452
c5_3_bfr.wav,123.047,1279.959,1.134,1.134,0.045,0.020,3142.735,796.558,16.543,5.335,7537.004,1842.777,4192.065,519.142,0.005080,0.005047,0.082,0.054,0.004,0.065,0.011,0.095,0.107,0.093,0.003,0.031,0.023,0.038,0.845,0.576,0.467,0.407,0.714,0.552,0.402,0.659,0.647,1.000,0.668,0.562,123.899,22.926,8.314,17.236,48.677,11.950,-13.397,12.258,17.652,9.645,-2.358,8.315,16.925,8.717,1.941,8.092,5.716,7.438,1.134,6.623,9.110,6.861,-0.837,6.238
c2_4_wyw.wav,123.047,1322.811,1.335,1.525,0.063,0.047,3950.273,1199.516,16.513,6.204,9191.969,2367.653,4501.172,546.274,0.009587,0.012795,-0.002,0.049,-0.049,0.041,-0.000,0.040,-0.014,0.064,0.003,0.020,-0.004,0.019,0.677,0.880,0.885,0.788,0.788,0.702,1.000,0.901,0.913,0.833,0.694,0.764,100.853,24.310,-3.555,20.186,49.325,15.097,-3.622,12.103,35.354,10.306,-10.600,9.711,15.257,9.422,-8.205,9.206,16.593,7.577,-9.540,7.726,11.010,7.797,-3.763,7.257
c1_4_ame.wav,126.048,1279.716,1.348,1.407,0.043,0.024,2492.429,752.855,17.628,6.340,5614.133,1779.902,3228.386,556.247,0.002367,0.003926,0.004,0.021,-0.010,0.025,0.008,0.025,0.047,0.038,0.012,0.013,-0.021,0.012,0.855,0.845,0.729,0.708,1.000,0.809,0.583,0.631,0.697,0.584,0.709,0.832,138.309,18.766,-28.417,12.282,40.001,13.152,-13.953,10.247,26.441,12.279,6.251,8.078,10.698,11.562,6.556,8.474,10.720,8.611,7.792,8.432,6.266,7.166,5.350,8.028
c2_2_wyw.wav,126.048,1268.403,1.418,1.689,0.050,0.034,2975.383,1186.581,15.524,6.252,6720.143,2815.442,3780.073,838.301,0.006216,0.009674,-0.025,0.032,-0.022,0.035,-0.124,0.056,0.060,0.064,0.022,0.023,0.015,0.017,0.521,1.000,0.567,0.345,0.479,0.567,0.698,0.573,0.676,0.754,0.567,0.418,134.200,29.802,-12.194,22.258,37.194,20.430,-13.133,13.948,27.418,10.517,-2.077,10.733,16.326,9.491,-0.611,7.635,10.814,7.812,-2.237,8.035,10.895,8.409,-2.751,7.038
c9_s1_.wav,123.047,1298.601,1.422,2.601,0.066,0.068,3502.485,2090.737,18.513,9.972,7439.347,4447.665,4044.545,1122.041,0.010430,0.019237,0.038,0.039,0.056,0.049,0.043,0.069,-0.063,0.054,0.010,0.033,-0.027,0.022,0.700,0.707,0.927,0.684,0.449,0.416,0.437,0.919,0.825,0.889,1.000,0.871,116.768,43.952,18.314,33.446,52.507,17.145,-18.781,15.070,28.094,12.478,-4.779,10.530,11.309,12.807,-4.486,15.695,5.797,8.642,-1.207,10.386,7.163,6.965,-3.450,8.535
x_s8_.wav,120.185,1289.647,1.735,2.740,0.033,0.035,1935.477,1406.032,17.311,8.457,3895.651,2985.708,2659.327,916.944,0.003003,0.008710,0.005,0.037,0.000,0.035,-0.009,0.042,0.015,0.036,0.013,0.014,0.001,0.019,0.502,0.573,0.624,0.567,0.601,0.545,0.636,0.888,1.000,0.982,0.734,0.548,161.149,40.344,1.173,31.214,44.005,20.093,-5.884,21.228,14.969,14.631,11.424,12.114,4.344,9.292,2.765,8.088,9.077,7.892,-3.738,7.214,5.166,6.754,5.936,8.281
c6_1_bfr.wav,129.199,1339.070,1.266,1.404,0.039,0.028,2517.641,965.255,16.602,6.384,5487.192,2280.329,3362.275,691.176,0.003733,0.006105,-0.028,0.028,0.010,0.050,-0.098,0.050,-0.030,0.050,0.024,0.022,0.002,0.025,0.611,0.791,0.589,0.563,0.648,0.806,0.735,0.570,0.630,0.839,1.000,0.530,144.984,26.871,-23.958,15.089,39.664,15.154,-3.713,11.236,24.139,9.889,-4.090,10.358,21.094,9.858,2.321,8.487,12.917,7.203,4.343,10.914,7.799,7.741,2.402,7.417
x_s14_.wav,123.047,1398.901,1.381,1.495,0.034,0.029,2140.240,989.460,17.374,7.193,4496.123,2167.470,2903.349,902.509,0.003570,0.008527,-0.010,0.037,-0.045,0.026,-0.004,0.032,0.114,0.045,0.045,0.016,-0.005,0.014,0.134,0.228,0.188,0.578,1.000,0.656,0.358,0.267,0.173,0.154,0.151,0.121,159.532,31.445,-33.346,20.741,33.596,12.362,-2.729,12.291,10.823,9.995,-5.943,8.103,3.609,11.465,11.499,9.855,-1.325,9.385,1.174,8.498,5.436,6.691,6.585,7.449
c4_1_bfr.wav,126.048,1282.759,1.410,1.776,0.085,0.055,4120.810,1103.587,15.946,6.570,9276.411,1938.179,4349.017,446.877,0.015105,0.019040,0.015,0.066,0.021,0.035,-0.027,0.076,0.001,0.054,0.016,0.023,0.013,0.019,0.728,0.633,0.652,0.756,0.841,0.668,0.510,0.438,0.486,0.851,1.000,0.756,98.270,25.015,-14.884,15.963,50.781,14.008,-12.164,12.987,27.124,10.258,-6.935,7.974,19.845,8.779,-4.232,8.107,16.769,8.593,-1.943,7.993,10.600,8.293,2.200,7.506
x_4_ame.wav,126.048,1265.315,1.288,1.596,0.049,0.033,2572.283,811.607,16.605,6.900,5362.784,1360.088,2916.972,412.741,0.002244,0.003379,0.028,0.032,-0.009,0.031,0.025,0.050,-0.012,0.030,-0.007,0.017,0.006,0.022,0.598,0.442,0.459,0.515,0.441,0.364,0.393,0.558,0.712,1.000,0.914,0.905,138.454,22.171,-50.487,10.922,47.918,13.787,-5.325,12.137,16.338,10.829,12.607,8.796,9.872,7.324,15.890,8.086,10.969,8.240,8.700,6.678,7.560,6.199,3.056,6.708
c3_1_ldl.wav,120.185,1300.398,1.372,1.468,0.058,0.052,2994.865,1353.879,15.851,6.412,6548.877,2779.358,3652.956,691.615,0.010032,0.020410,0.022,0.043,0.011,0.033,0.017,0.046,-0.041,0.044,0.005,0.016,0.004,0.017,0.719,0.576,0.772,0.874,0.899,0.901,0.953,0.913,0.850,0.927,1.000,0.857,132.147,33.777,-14.497,20.279,40.455,13.901,-16.058,12.396,27.428,9.474,-4.612,9.954,12.621,8.038,-4.128,9.858,7.674,8.143,4.461,8.690,12.568,6.136,2.574,6.810
c2_1_wyw.wav,126.048,1242.744,1.502,2.042,0.031,0.018,2188.527,968.499,16.224,6.081,5023.770,2932.783,3384.623,936.731,0.002459,0.003753,0.010,0.041,-0.041,0.044,-0.056,0.059,-0.002,0.070,0.022,0.017,0.021,0.028,0.502,0.759,0.646,0.685,0.958,0.887,0.945,0.850,0.835,1.000,0.912,0.608,148.422,27.718,12.439,18.976,40.906,18.495,-10.126,13.797,24.392,10.094,4.677,11.926,11.112,9.353,2.715,10.140,6.368,8.318,0.987,9.036,6.600,7.116,-2.453,7.969
c5_2_bfr.wav,123.047,1298.497,1.139,0.970,0.056,0.029,3054.446,885.283,16.623,5.730,6822.134,2081.080,3821.251,613.037,0.007033,0.008879,0.086,0.055,0.015,0.048,-0.043,0.060,0.031,0.066,0.004,0.024,0.017,0.027,0.705,0.637,0.694,0.635,0.703,0.542,0.425,0.560,0.674,1.000,0.825,0.608,133.984,26.174,-15.547,15.940,37.485,12.083,-14.970,12.741,19.276,12.948,-7.646,8.889,11.553,8.532,-2.078,7.705,0.686,6.103,-3.868,7.057,5.242,6.441,-0.753,7.029
c3_2_ldl.wav,120.185,1296.966,1.339,1.390,0.071,0.058,3451.461,1425.101,16.368,6.553,7672.070,2693.990,3991.559,622.640,0.012446,0.023680,0.030,0.041,0.014,0.032,0.027,0.046,-0.020,0.045,0.001,0.017,0.003,0.019,0.773,0.571,0.784,0.885,0.932,0.871,0.933,1.000,0.894,0.903,0.974,0.854,123.443,33.389,-11.701,17.970,38.616,12.292,-18.602,12.453,29.523,11.735,-11.585,10.204,15.300,8.953,-8.828,11.176,9.566,8.338,-1.771,9.183,13.096,7.339,-0.287,7.859
c2_3_wyw.wav,123.047,1311.472,1.277,1.312,0.065,0.034,3426.293,851.185,15.985,6.152,7668.345,1902.136,4064.795,430.547,0.008330,0.010116,-0.021,0.041,-0.038,0.064,-0.003,0.060,0.062,0.073,-0.005,0.019,-0.001,0.027,0.589,0.663,0.490,0.440,0.542,0.561,0.849,0.875,1.000,0.676,0.371,0.485,123.143,23.296,-25.931,16.205,24.964,16.318,-18.200,12.819,28.353,10.410,-10.983,9.286,16.484,8.637,-6.126,9.582,17.747,9.467,-4.621,8.099,13.752,8.519,-3.462,7.663
c4_2_bfr.wav,126.048,1272.235,1.422,1.818,0.078,0.051,3882.710,1116.854,16.191,6.374,8600.873,2064.332,4176.960,494.665,0.014321,0.019313,0.016,0.071,0.022,0.037,-0.023,0.068,0.003,0.060,0.018,0.024,0.012,0.018,0.733,0.632,0.586,0.682,0.782,0.641,0.490,0.449,0.485,0.819,1.000,0.788,105.389,26.710,-18.565,15.918,50.104,14.456,-11.141,13.286,23.769,10.407,-4.680,7.918,16.860,8.681,-3.015,8.299,15.094,8.404,-1.985,8.446,9.816,8.085,1.242,7.663
c7_1_bfr.wav,123.047,1268.315,2.000,3.656,0.092,0.081,3873.728,1832.850,15.331,6.206,7531.663,3044.245,3935.611,740.807,0.018528,0.026659,0.001,0.027,0.004,0.010,-0.014,0.013,0.005,0.015,0.006,0.006,0.003,0.007,0.513,0.426,0.303,0.251,0.278,0.287,0.391,0.623,0.801,1.000,0.880,0.656,102.743,49.760,-9.747,24.563,31.407,23.437,-23.594,12.774,5.715,11.084,-4.597,10.510,2.665,10.725,1.606,9.913,6.981,8.639,1.131,10.171,6.676,7.389,0.453,8.726
c10_s13_.wav,123.047,1323.672,1.383,1.642,0.055,0.041,3316.372,1643.194,16.351,5.875,7266.231,3686.793,4089.321,1082.126,0.015345,0.034337,-0.007,0.044,-0.034,0.043,-0.068,0.035,0.074,0.052,-0.030,0.018,0.010,0.014,0.397,0.345,0.319,0.298,0.326,0.267,0.304,0.375,0.770,1.000,0.585,0.454,125.793,35.877,-6.720,22.476,31.053,12.393,-8.243,11.168,18.393,11.860,-1.727,7.815,20.167,9.574,-1.304,6.731,-1.195,9.262,4.445,8.174,11.367,8.652,2.063,7.492
x_1_wyw.wav,123.047,1295.690,1.415,1.822,0.042,0.022,2702.617,664.559,15.993,5.824,5985.314,1681.157,3628.963,417.484,0.003528,0.004410,-0.011,0.035,-0.021,0.050,0.003,0.047,0.058,0.055,-0.005,0.014,0.002,0.019,0.647,0.689,0.534,0.434,0.514,0.572,0.861,0.953,1.000,0.686,0.381,0.437,131.569,19.523,-28.607,15.808,31.284,14.288,-8.886,10.040,35.246,10.846,2.323,8.814,22.987,8.191,4.371,9.429,18.165,8.746,2.318,8.019,15.281,9.629,7.011,8.413
c5_1_bfr.wav,123.047,1292.955,1.155,1.077,0.051,0.022,3333.158,820.665,16.631,5.414,7901.261,1936.777,4347.348,548.233,0.007276,0.007467,0.113,0.061,0.054,0.079,-0.034,0.098,0.116,0.085,0.015,0.024,0.037,0.044,0.959,0.610,0.461,0.402,0.679,0.522,0.376,0.579,0.566,1.000,0.667,0.555,123.031,21.448,6.280,14.899,42.372,12.542,-11.395,12.868,13.020,9.049,-4.635,7.435,15.110,8.486,1.783,7.410,3.642,7.354,1.457,6.729,8.290,6.352,-2.072,5.833
c10_s11_.wav,123.047,1282.582,1.520,1.985,0.080,0.085,3979.460,1820.302,15.687,5.466,8396.466,2482.383,4202.955,534.934,0.023215,0.043805,-0.009,0.018,0.013,0.025,-0.016,0.028,0.028,0.027,0.007,0.013,0.013,0.010,0.683,0.748,0.629,0.767,0.703,0.682,0.738,0.843,0.836,1.000,0.721,0.513,81.931,38.176,-5.506,21.279,63.990,19.616,-7.961,13.447,31.696,9.690,5.708,8.630,17.169,8.361,5.076,7.450,11.765,8.597,9.036,7.261,6.100,8.760,0.807,7.565
x_1_ame.wav,126.048,1305.256,1.324,1.389,0.042,0.028,2637.476,841.659,16.929,6.208,5479.034,1384.123,3046.747,410.521,0.001760,0.002040,0.008,0.034,-0.023,0.029,0.016,0.022,-0.014,0.026,0.010,0.010,0.004,0.012,0.551,0.464,0.384,0.377,0.311,0.478,0.634,1.000,0.994,0.873,0.701,0.688,109.827,22.006,-54.371,13.052,52.988,12.978,13.062,10.202,32.522,7.608,24.833,8.970,17.713,6.850,17.123,8.428,12.072,7.622,16.234,7.332,15.522,6.051,8.504,5.985
c2_6_wyw.wav,123.047,1286.322,1.529,2.170,0.052,0.053,3002.788,1322.130,15.944,6.441,6454.019,2443.348,3584.069,621.387,0.006227,0.011287,0.021,0.045,-0.005,0.037,-0.011,0.054,-0.020,0.052,0.019,0.021,-0.014,0.015,0.536,0.808,0.987,0.691,0.472,0.422,0.531,0.967,1.000,0.812,0.659,0.522,108.923,34.441,-19.288,20.370,54.755,18.726,-5.933,14.618,27.545,12.344,9.844,10.849,21.015,8.642,7.474,8.969,12.956,7.996,7.975,8.334,7.438,7.716,5.310,7.911
c1_3_ame.wav,126.048,1398.779,1.021,0.791,0.039,0.024,2232.067,829.076,18.216,6.937,4916.495,2085.978,2999.244,557.727,0.001263,0.002006,0.025,0.032,0.026,0.032,-0.002,0.048,-0.015,0.040,-0.020,0.025,-0.011,0.017,0.667,0.712,0.846,1.000,0.634,0.597,0.493,0.516,0.843,0.889,0.805,0.687,146.857,19.290,-21.127,22.937,51.152,12.375,-9.095,15.286,25.621,10.339,8.264,10.783,10.919,10.914,11.650,8.977,8.640,7.678,2.919,6.747,-0.164,7.717,2.914,6.406
